Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,1522,38,1560,Minelar,MMR016005
 Rural,1369,2279,3648,Minelar,MMR016005
 Total,2891,2317,5208,Minelar,MMR016005
