Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,21620,15821,37441,Pathein,MMR017001
 Rural,7953,20642,28595,Pathein,MMR017001
 Total,29573,36463,66036,Pathein,MMR017001
