Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,23,135,158,Taungpyoletwe(ST),MMR012009
 Rural,6,342,348,Taungpyoletwe(ST),MMR012009
 Total,29,477,506,Taungpyoletwe(ST),MMR012009
