Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,8416,4182,12598,Kalaw,MMR014005
 Rural,8484,20259,28743,Kalaw,MMR014005
 Total,16900,24441,41341,Kalaw,MMR014005
