Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,2410,3492,5902,Paung,MMR011008
 Rural,10628,27196,37824,Paung,MMR011008
 Total,13038,30688,43726,Paung,MMR011008
