Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,21031,3691,24722,Zabuthiri,MMR018002
 Rural,765,833,1598,Zabuthiri,MMR018002
 Total,21796,4524,26320,Zabuthiri,MMR018002
