Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,276,282,558,Minekat,MMR016002
 Rural,644,6823,7467,Minekat,MMR016002
 Total,920,7105,8025,Minekat,MMR016002
