Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,2962,1721,4683,Kukai,MMR015011
 Rural,2074,12274,14348,Kukai,MMR015011
 Total,5036,13995,19031,Kukai,MMR015011
