Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,16326,1100,17426,Bahan,MMR013044
 Total,16326,1100,17426,Bahan,MMR013044
