Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,414,356,770,Laymyethna,MMR017010
 Rural,3323,22151,25474,Laymyethna,MMR017010
 Total,3737,22507,26244,Laymyethna,MMR017010
