Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Urban,2109,661,2770,Pinlaung,MMR014009
 Rural,4254,18480,22734,Pinlaung,MMR014009
 Total,6363,19141,25504,Pinlaung,MMR014009
