Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,320,26,346,Manhero(ST),MMR015009
 Rural,1176,121,1297,Manhero(ST),MMR015009
 Total,1496,147,1643,Manhero(ST),MMR015009
