Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,6952,2563,9515,Nyaung U,MMR010022
 Rural,13832,21315,35147,Nyaung U,MMR010022
 Total,20784,23878,44662,Nyaung U,MMR010022
