Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,629,306,935,Namsan(North),MMR015016
 Rural,6108,6642,12750,Namsan(North),MMR015016
 Total,6737,6948,13685,Namsan(North),MMR015016
