Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,142,10801,10943,Ahlon,MMR013037
 Total,142,10801,10943,Ahlon,MMR013037
