Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,11,4462,4473,Latha,MMR013036
 Total,11,4462,4473,Latha,MMR013036
