Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,3172,4344,7516,Kyaikto,MMR011009
 Rural,9865,20707,30572,Kyaikto,MMR011009
 Total,13037,25051,38088,Kyaikto,MMR011009
