Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,955,702,1657,Ngazun,MMR010021
 Rural,14266,11915,26181,Ngazun,MMR010021
 Total,15221,12617,27838,Ngazun,MMR010021
