Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1427,1222,2649,Hsihseng,MMR014004
 Rural,17347,12775,30122,Hsihseng,MMR014004
 Total,18774,13997,32771,Hsihseng,MMR014004
