Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,997,193,1190,Mineyaung,MMR016011
 Rural,4492,647,5139,Mineyaung,MMR016011
 Total,5489,840,6329,Mineyaung,MMR016011
