Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1092,1583,2675,Ngwehsaung(ST),MMR017001
 Rural,1670,5125,6795,Ngwehsaung(ST),MMR017001
 Total,2762,6708,9470,Ngwehsaung(ST),MMR017001
