Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,662,1879,2541,Ngaputaw,MMR017004
 Rural,3657,31178,34835,Ngaputaw,MMR017004
 Total,4319,33057,37376,Ngaputaw,MMR017004
