Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,335,92,427,Tontar(ST),MMR016007
 Rural,1384,883,2267,Tontar(ST),MMR016007
 Total,1719,975,2694,Tontar(ST),MMR016007
