Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,3252,2059,5311,Madaya,MMR010009
 Rural,25447,27887,53334,Madaya,MMR010009
 Total,28699,29946,58645,Madaya,MMR010009
