Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,47,454,501,Pyinsalu(ST),MMR017016
 Rural,817,19119,19936,Pyinsalu(ST),MMR017016
 Total,864,19573,20437,Pyinsalu(ST),MMR017016
