Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,38404,11327,49731,Aungmyetharzan,MMR010001
 Total,38404,11327,49731,Aungmyetharzan,MMR010001
