Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,395,191,586,Minelon(ST),MMR015012
 Rural,2312,2958,5270,Minelon(ST),MMR015012
 Total,2707,3149,5856,Minelon(ST),MMR015012
