Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,580,560,1140,Kyaukhtu(ST),MMR009025
 Rural,3004,3465,6469,Kyaukhtu(ST),MMR009025
 Total,3584,4025,7609,Kyaukhtu(ST),MMR009025
