Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1180,290,1470,Mineye`,MMR015003
 Rural,6607,5251,11858,Mineye`,MMR015003
 Total,7787,5541,13328,Mineye`,MMR015003
