Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,6452,13907,20359,Taikkyi,MMR013005
 Rural,11995,34645,46640,Taikkyi,MMR013005
 Total,18447,48552,66999,Taikkyi,MMR013005
