Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,929,263,1192,Maukme`,MMR014020
 Rural,3046,2956,6002,Maukme`,MMR014020
 Total,3975,3219,7194,Maukme`,MMR014020
