Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,371,2247,2618,Myebon,MMR012006
 Rural,932,27789,28721,Myebon,MMR012006
 Total,1303,30036,31339,Myebon,MMR012006
