Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,33243,10632,43875,Pyigyidagun,MMR010005
 Total,33243,10632,43875,Pyigyidagun,MMR010005
