Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,2135,3171,5306,Kyangin,MMR017012
 Rural,8523,13028,21551,Kyangin,MMR017012
 Total,10658,16199,26857,Kyangin,MMR017012
