Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,2559,6190,8749,Hlegu,MMR013004
 Rural,14992,34282,49274,Hlegu,MMR013004
 Total,17551,40472,58023,Hlegu,MMR013004
