Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,22,136,158,Taungpyoletwe(ST),MMR012009
 Rural,13,335,348,Taungpyoletwe(ST),MMR012009
 Total,35,471,506,Taungpyoletwe(ST),MMR012009
