Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,258,561,819,Shwethaungyan(ST),MMR017001
 Rural,2383,6979,9362,Shwethaungyan(ST),MMR017001
 Total,2641,7540,10181,Shwethaungyan(ST),MMR017001
