Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,762,982,1744,Chaungzon,MMR011003
 Rural,10166,16034,26200,Chaungzon,MMR011003
 Total,10928,17016,27944,Chaungzon,MMR011003
