Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,3193,6671,9864,Kyauktan,MMR013024
 Rural,6681,16431,23112,Kyauktan,MMR013024
 Total,9874,23102,32976,Kyauktan,MMR013024
