Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,24588,7353,31941,Pyin Oo Lwin,MMR010008
 Rural,15653,5788,21441,Pyin Oo Lwin,MMR010008
 Total,40241,13141,53382,Pyin Oo Lwin,MMR010008
