Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1201,360,1561,Minesat,MMR016006
 Rural,8038,6310,14348,Minesat,MMR016006
 Total,9239,6670,15909,Minesat,MMR016006
