Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,2362,3816,6178,Toungup,MMR012016
 Rural,2400,16661,19061,Toungup,MMR012016
 Total,4762,20477,25239,Toungup,MMR012016
