Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,214,1296,1510,Yethedaung,MMR012008
 Rural,601,22230,22831,Yethedaung,MMR012008
 Total,815,23526,24341,Yethedaung,MMR012008
