Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,6791,1862,8653,Kyukme,MMR015012
 Rural,13439,6279,19718,Kyukme,MMR015012
 Total,20230,8141,28371,Kyukme,MMR015012
