Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1656,4286,5942,Hmawby,MMR013003
 Rural,15060,35467,50527,Hmawby,MMR013003
 Total,16716,39753,56469,Hmawby,MMR013003
