Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,7836,69148,76984,Dagon Myothit(South),MMR013018
 Total,7836,69148,76984,Dagon Myothit(South),MMR013018
