Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,200,16099,16299,Kamayut,MMR013041
 Total,200,16099,16299,Kamayut,MMR013041
