Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,125,30,155,Naphang,MMR015006
 Rural,7286,9033,16319,Naphang,MMR015006
 Total,7411,9063,16474,Naphang,MMR015006
