Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,411,2055,2466,Ponnagyun,MMR012002
 Rural,357,22512,22869,Ponnagyun,MMR012002
 Total,768,24567,25335,Ponnagyun,MMR012002
