Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,8280,6176,14456,Pyinmana,MMR018006
 Rural,11194,14013,25207,Pyinmana,MMR018006
 Total,19474,20189,39663,Pyinmana,MMR018006
