Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,26954,6327,33281,Chanayeharzan,MMR010002
 Total,26954,6327,33281,Chanayeharzan,MMR010002
