Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,9808,93999,103807,Hlinethaya,MMR013008
 Rural,4773,40131,44904,Hlinethaya,MMR013008
 Total,14581,134130,148711,Hlinethaya,MMR013008
