Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,6140,4652,10792,Mudon,MMR011005
 Rural,17045,11475,28520,Mudon,MMR011005
 Total,23185,16127,39312,Mudon,MMR011005
