Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,904,1272,2176,Kyaikemaraw,MMR011002
 Rural,16141,20571,36712,Kyaikemaraw,MMR011002
 Total,17045,21843,38888,Kyaikemaraw,MMR011002
