Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,510,796,1306,Mannaung,MMR017011
 Rural,2346,11083,13429,Mannaung,MMR017011
 Total,2856,11879,14735,Mannaung,MMR017011
