Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,995,1771,2766,Yekyi,MMR017006
 Rural,5725,19311,25036,Yekyi,MMR017006
 Total,6720,21082,27802,Yekyi,MMR017006
