Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,36562,20086,56648,Taunggyi,MMR014001
 Rural,16213,9743,25956,Taunggyi,MMR014001
 Total,52775,29829,82604,Taunggyi,MMR014001
