Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,3422,1261,4683,Kukai,MMR015011
 Rural,8209,6139,14348,Kukai,MMR015011
 Total,11631,7400,19031,Kukai,MMR015011
