Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,53,38,91,Monehta(ST),MMR016008
 Rural,154,684,838,Monehta(ST),MMR016008
 Total,207,722,929,Monehta(ST),MMR016008
