Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1914,4085,5999,Kyonpyaw,MMR017005
 Rural,11150,42339,53489,Kyonpyaw,MMR017005
 Total,13064,46424,59488,Kyonpyaw,MMR017005
