Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,345,316,661,Panlon(ST),MMR015021
 Rural,197,327,524,Panlon(ST),MMR015021
 Total,542,643,1185,Panlon(ST),MMR015021
