Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1334,446,1780,Singaing,MMR010014
 Rural,21237,10562,31799,Singaing,MMR010014
 Total,22571,11008,33579,Singaing,MMR010014
