Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,2148,554,2702,Patheingyi,MMR010007
 Rural,34174,16114,50288,Patheingyi,MMR010007
 Total,36322,16668,52990,Patheingyi,MMR010007
