Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,441,233,674,Homane(ST),MMR014018
 Rural,212,274,486,Homane(ST),MMR014018
 Total,653,507,1160,Homane(ST),MMR014018
